Feature,TargetFeature,SHAPValue,LogSHAPValue
LMO7,FNDC3A,0.0043249022408975,-5.4433657421144455
AHNAK2,FNDC3A,0.0095839507200717,-4.647665379517954
KMT2D,FNDC3A,0.057752840066866,-2.8515827521424337
PRRC2A,FNDC3A,0.0054505911946282,-5.21203120011152
CLASP1,FNDC3A,0.0039152573543337,-5.542874216237859
PLEC,FNDC3A,0.0087383251454866,-4.740036738629439
LARP1,FNDC3A,0.0021624079069226,-6.136532906459239
SRRM2,FNDC3A,0.0033110945651835,-5.710476459911715
NUMA1,FNDC3A,0.0137245808923624,-4.288566828128378
NEB,SAE1,0.0006760328347122,-7.299268911041427
XIRP1,SAE1,0.0023845848372503,-6.038730242225937
ABLIM1,SAE1,0.0122039397783049,-4.405996446726508
BRD8,SAE1,0.0131644896126769,-4.330232255286947
NCOR1,SAE1,0.0104069478336568,-4.5652816349596375
LMO7,SAE1,0.0057083771816707,-5.1658205020709
EIF4B,SAE1,0.0060884297374111,-5.101365073297138
HUWE1,SAE1,0.0006437399092807,-7.348215781012947
PPIG,SAE1,0.0184425030541085,-3.9930973296041765
ACTC1,HELZ2,0.0038309343737079,-5.564646543739795
SPEN,HELZ2,0.0112067328164829,-4.49124053696713
BRD8,HELZ2,0.0067552693101796,-4.9974324400923615
ABLIM1,HELZ2,0.0037396848122945,-5.588753945894583
MAP1S,HELZ2,0.0217208481223752,-3.8294827366872637
ARPP19,HELZ2,0.0107477893798354,-4.53305518464016
PPIG,HELZ2,0.0019943227891794,-6.21745074031329
NES,HELZ2,0.0130856844537384,-4.3362364360961125
LRRFIP2,JPH1,0.0108223379072908,-4.526142956141608
MDC1,JPH1,0.0038343228446346,-5.563762432208793
IRS2,JPH1,0.006258747320288,-5.073775222474715
TJP1,JPH1,0.0358252094812966,-3.329103457935476
PLEKHA6,JPH1,0.0304871603877219,-3.4904496548962576
TP53BP1,JPH1,0.0054682525482795,-5.208796174596018
USP10,JPH1,0.012937540782453,-4.347622055694619
PCBP1,JPH1,0.0128737782773894,-4.352562728011332
ASAP1,JPH1,0.0141685966582117,-4.256727266301683
WASHC2A,JPH1,0.0116200145121278,-4.455026278666915
NEB,LRCH4,0.0014827138431551,-6.513881192533416
BRD8,LRCH4,0.0094413504504339,-4.662656252866257
ABLIM1,LRCH4,0.0014364672904885,-6.545568450087156
PROB1,LRCH4,0.0012753962053102,-6.664498399381397
NACA,LRCH4,0.002318630442505,-6.06677859412168
CALD1,LRCH4,0.0033078492305226,-5.711457080089535
SVIL,LRCH4,0.0073899993684032,-4.907627629488444
SASH1,LRCH4,0.0243818584022565,-3.7139159313264543
PLEKHO2,LRCH4,0.0209171248682661,-3.867187083825725
SCAF11,LRCH4,0.0001542284844256,-8.777075389992977
RPLP1,PCNX3,0.0005344155952753,-7.534336753392011
SATB2,PCNX3,0.0027747385279309,-5.8871987603921605
ARPP19,PCNX3,0.0023378023847779,-6.058543942696206
BAG3,PCNX3,0.0024561203488117,-6.009172267938636
BRD8,PCNX3,0.0080180717440373,-4.826057316929903
SASH1,PCNX3,0.0024640889700698,-6.005933125979868
CALD1,PCNX3,0.0183615163321973,-3.997498308300433
MAP1S,PCNX3,0.0116269399805485,-4.454430461384461
AHNAK2,HIVEP1,0.0056760468642875,-5.171500263149099
BAG3,HIVEP1,0.0041331300867356,-5.488720268812234
CALD1,HIVEP1,0.0028722261954044,-5.852667872051931
BRD8,HIVEP1,0.0052675997487445,-5.246180475826498
PLEKHA6,HIVEP1,0.0300354727488156,-3.5053761708732827
KMT2D,HIVEP1,0.02530087349824,-3.6769163582225235
SASH1,HIVEP1,0.0206871341829113,-3.878243309002468
NUMA1,HIVEP1,0.0233069196018763,-3.7590049838786035
MINK1,HIVEP1,0.0050982115196876,-5.27886548316951
PLEKHO2,HIVEP1,0.0210884223398866,-3.859031093364172
HUWE1,BRAT1,0.0073936203021413,-4.907137771944595
TCOF1,BRAT1,0.002799840392863,-5.878192865974614
XIRP1,BRAT1,0.0017965749021113,-6.321873258925377
PRRC2A,BRAT1,0.0079483187169913,-4.834794854820856
ADAR,BRAT1,0.0047327506289632,-5.353248717178336
MDC1,BRAT1,0.0144921146286091,-4.234150596195252
KMT2D,BRAT1,0.0441708141987145,-3.11969102024691
PLEC,BRAT1,0.0111720997081871,-4.494335706110255
NEB,BRAT1,0.0009868174464392,-6.921025493652631
IRS2,BRAT1,0.0019169200961123,-6.257035497523226
WASHC2A,FIP1L1,0.0008721099972088,-7.044594998422655
ABLIM1,FIP1L1,0.0037809308166092,-5.577785051884438
EIF4B,FIP1L1,0.047014822237561,-3.0572923602331046
PPIG,FIP1L1,0.0019934859406053,-6.217870443786094
PCBP2,FIP1L1,0.0045229041366079,-5.398600983358863
MAP4K4,FIP1L1,0.0128676965658853,-4.353035250402087
USP24,FIP1L1,0.0119223148537774,-4.429343437056747
CAMSAP1,FIP1L1,0.0007585038988563,-7.1841626189696495
TP53BP2,FIP1L1,0.001273626153851,-6.665887207712045
SCAF11,FIP1L1,0.0014157209106086,-6.560116400164606
TCOF1,TRAPPC10,0.004588715150483,-5.384155217737667
SPEN,TRAPPC10,0.0038650770156999,-5.5557736706988745
DLG5,TRAPPC10,0.002547095999034,-5.972801392672727
HUWE1,TRAPPC10,0.0036661194583237,-5.608621544628061
NCOR2,TRAPPC10,0.0120229142383656,-4.420940930145838
ACBD5,TRAPPC10,0.0011427982803711,-6.774275392359313
TLK2,ZNF579,0.00806323239237,-4.82044076162217
GPATCH8,ZNF579,0.0279851257916732,-3.576082131681141
NHSL3,ZNF579,0.0025390571534122,-5.9759624663072755
RBM10,ZNF579,0.0022202015223077,-6.110157311403545
TRIM28,ZNF579,0.0113588264500985,-4.4777601764745825
IRS2,ZNF579,0.0334515699018436,-3.3976565607186675
PLEKHA6,ZNF579,0.0177735099826967,-4.030046133377688
USP10,ZNF579,0.0084263585861598,-4.7763905592266624
SMTNL2,SETX,0.0026542844972707,-5.9315801531612875
BRD8,SETX,0.0050842659300789,-5.281604619768991
ABLIM1,SETX,0.0024893064577731,-5.995751138317307
NACA,SETX,0.0022527094846013,-6.095621571873226
EIF4B,SETX,0.0014981382717263,-6.503532093923718
CAST,SETX,0.0036886473837062,-5.60249545081147
FLNC,SETX,0.0013373770951572,-6.617044974887644
SCAF11,SETX,0.0148773831036791,-4.207913131731783
PLEKHO2,SETX,0.0323959498999125,-3.429721867086511
PCBP2,SETX,0.0011827576107586,-6.73990660867465
CEP170B,SETX,0.0182132647703073,-4.005605116836198
LRRFIP2,NEK9,0.0071006504120845,-4.947568891794718
PRRC2A,NEK9,0.004091618264526,-5.498814723483378
KMT2D,NEK9,0.0079939782675572,-4.829066737290996
LARP1,NEK9,0.0053442722636851,-5.23172989649971
IRS2,NEK9,0.0160224818401404,-4.133762427983919
PLEKHA6,NEK9,0.0163029601831257,-4.116408581331123
PCBP1,NEK9,0.0542723317935011,-2.9137407253013694
TJP1,NEK9,0.005066582123696,-5.285088826049862
